,date,5. adjusted close,symbol
17140,2006-01-29,2.1833,AAPL
17141,2006-02-05,2.1777,AAPL
17142,2006-02-12,2.0402,AAPL
17143,2006-02-19,2.1305,AAPL
17144,2006-02-26,2.166,AAPL
17145,2006-03-05,2.0526,AAPL
17146,2006-03-12,1.9153,AAPL
17147,2006-03-19,1.9599,AAPL
17148,2006-03-26,1.8174,AAPL
17149,2006-04-02,1.9011,AAPL
17150,2006-04-09,2.1154,AAPL
17151,2006-04-16,2.0147,AAPL
17152,2006-04-23,2.032,AAPL
17153,2006-04-30,2.1335,AAPL
17154,2006-05-07,2.179,AAPL
17155,2006-05-14,2.052,AAPL
17156,2006-05-21,1.9553,AAPL
17157,2006-05-28,1.9262,AAPL
17158,2006-06-04,1.8689,AAPL
17159,2006-06-11,1.8041,AAPL
17160,2006-06-18,1.7447,AAPL
17161,2006-06-25,1.7832,AAPL
17162,2006-07-02,1.7359,AAPL
17163,2006-07-09,1.6792,AAPL
17164,2006-07-16,1.5358,AAPL
17165,2006-07-23,1.8404,AAPL
17166,2006-07-30,1.9881,AAPL
17167,2006-08-06,2.0702,AAPL
17168,2006-08-13,1.9293,AAPL
17169,2006-08-20,2.0584,AAPL
17170,2006-08-27,2.0838,AAPL
17171,2006-09-03,2.0726,AAPL
17172,2006-09-10,2.1981,AAPL
17173,2006-09-17,2.246,AAPL
17174,2006-09-24,2.2127,AAPL
17175,2006-10-01,2.3333,AAPL
17176,2006-10-08,2.2496,AAPL
17177,2006-10-15,2.2739,AAPL
17178,2006-10-22,2.4233,AAPL
17179,2006-10-29,2.4373,AAPL
17180,2006-11-05,2.373,AAPL
17181,2006-11-12,2.5194,AAPL
17182,2006-11-19,2.6021,AAPL
17183,2006-11-26,2.7773,AAPL
17184,2006-12-03,2.7679,AAPL
17185,2006-12-10,2.6752,AAPL
17186,2006-12-17,2.6588,AAPL
17187,2006-12-24,2.4915,AAPL
17188,2006-12-31,2.5715,AAPL
17189,2007-01-07,2.5779,AAPL
17190,2007-01-14,2.868,AAPL
17191,2007-01-21,2.6825,AAPL
17192,2007-01-28,2.5879,AAPL
17193,2007-02-04,2.5688,AAPL
17194,2007-02-11,2.5239,AAPL
17195,2007-02-18,2.5712,AAPL
17196,2007-02-25,2.6997,AAPL
17197,2007-03-04,2.5888,AAPL
17198,2007-03-11,2.6664,AAPL
17199,2007-03-18,2.7155,AAPL
17200,2007-03-25,2.8346,AAPL
17201,2007-04-01,2.8161,AAPL
17202,2007-04-08,2.8698,AAPL
17203,2007-04-15,2.7352,AAPL
17204,2007-04-22,2.7573,AAPL
17205,2007-04-29,3.0286,AAPL
17206,2007-05-06,3.0556,AAPL
17207,2007-05-13,3.2959,AAPL
17208,2007-05-20,3.3347,AAPL
17209,2007-05-27,3.4439,AAPL
17210,2007-06-03,3.5887,AAPL
17211,2007-06-10,3.7733,AAPL
17212,2007-06-17,3.6524,AAPL
17213,2007-06-24,3.7282,AAPL
17214,2007-07-01,3.6991,AAPL
17215,2007-07-08,4.0101,AAPL
17216,2007-07-15,4.1746,AAPL
17217,2007-07-22,4.3571,AAPL
17218,2007-07-29,4.3601,AAPL
17219,2007-08-05,3.9964,AAPL
17220,2007-08-12,3.7888,AAPL
17221,2007-08-19,3.6997,AAPL
17222,2007-08-26,4.101,AAPL
17223,2007-09-02,4.1974,AAPL
17224,2007-09-09,3.994,AAPL
17225,2007-09-16,4.2074,AAPL
17226,2007-09-23,4.3692,AAPL
17227,2007-09-30,4.6517,AAPL
17228,2007-10-07,4.8936,AAPL
17229,2007-10-14,5.0695,AAPL
17230,2007-10-21,5.1655,AAPL
17231,2007-10-28,5.5983,AAPL
17232,2007-11-04,5.6944,AAPL
17233,2007-11-11,5.0124,AAPL
17234,2007-11-18,5.0433,AAPL
17235,2007-11-25,5.1994,AAPL
17236,2007-12-02,5.5232,AAPL
17237,2007-12-09,5.8893,AAPL
17238,2007-12-16,5.7708,AAPL
17239,2007-12-23,5.8775,AAPL
17240,2007-12-30,6.0569,AAPL
17241,2008-01-06,5.4574,AAPL
17242,2008-01-13,5.2343,AAPL
17243,2008-01-20,4.8909,AAPL
17244,2008-01-27,3.9406,AAPL
17245,2008-02-03,4.054,AAPL
17246,2008-02-10,3.8033,AAPL
17247,2008-02-17,3.7776,AAPL
17248,2008-02-24,3.6209,AAPL
17249,2008-03-02,3.7894,AAPL
17250,2008-03-09,3.7054,AAPL
17251,2008-03-16,3.8376,AAPL
17252,2008-03-23,4.0395,AAPL
17253,2008-03-30,4.3347,AAPL
17254,2008-04-06,4.6399,AAPL
17255,2008-04-13,4.4599,AAPL
17256,2008-04-20,4.8812,AAPL
17257,2008-04-27,5.1446,AAPL
17258,2008-05-04,5.4844,AAPL
17259,2008-05-11,5.5604,AAPL
17260,2008-05-18,5.6868,AAPL
17261,2008-05-25,5.4913,AAPL
17262,2008-06-01,5.7211,AAPL
17263,2008-06-08,5.6268,AAPL
17264,2008-06-15,5.2246,AAPL
17265,2008-06-22,5.3125,AAPL
17266,2008-06-29,5.1555,AAPL
17267,2008-07-06,5.1564,AAPL
17268,2008-07-13,5.231,AAPL
17269,2008-07-20,5.0058,AAPL
17270,2008-07-27,4.9139,AAPL
17271,2008-08-03,4.7484,AAPL
17272,2008-08-10,5.1391,AAPL
17273,2008-08-17,5.3267,AAPL
17274,2008-08-24,5.3586,AAPL
17275,2008-08-31,5.1385,AAPL
17276,2008-09-07,4.8551,AAPL
17277,2008-09-14,4.5144,AAPL
17278,2008-09-21,4.271,AAPL
17279,2008-09-28,3.887,AAPL
17280,2008-10-05,2.9422,AAPL
17281,2008-10-12,2.934,AAPL
17282,2008-10-19,2.9522,AAPL
17283,2008-10-26,2.9213,AAPL
17284,2008-11-02,3.2611,AAPL
17285,2008-11-09,2.9777,AAPL
17286,2008-11-16,2.7352,AAPL
17287,2008-11-23,2.503,AAPL
17288,2008-11-30,2.8089,AAPL
17289,2008-12-07,2.8492,AAPL
17290,2008-12-14,2.9786,AAPL
17291,2008-12-21,2.7279,AAPL
17292,2008-12-28,2.6009,AAPL
17293,2009-01-04,2.7507,AAPL
17294,2009-01-11,2.7455,AAPL
17295,2009-01-18,2.4955,AAPL
17296,2009-01-25,2.6782,AAPL
17297,2009-02-01,2.7319,AAPL
17298,2009-02-08,3.0225,AAPL
17299,2009-02-15,3.0056,AAPL
17300,2009-02-22,2.7643,AAPL
17301,2009-03-01,2.707,AAPL
17302,2009-03-08,2.5855,AAPL
17303,2009-03-15,2.9077,AAPL
17304,2009-03-22,3.0792,AAPL
17305,2009-03-29,3.2387,AAPL
17306,2009-04-05,3.5157,AAPL
17307,2009-04-12,3.6242,AAPL
17308,2009-04-19,3.7409,AAPL
17309,2009-04-26,3.7555,AAPL
17310,2009-05-03,3.8567,AAPL
17311,2009-05-10,3.9158,AAPL
17312,2009-05-17,3.7106,AAPL
17313,2009-05-24,3.713,AAPL
17314,2009-05-31,4.1164,AAPL
17315,2009-06-07,4.385,AAPL
17316,2009-06-14,4.1516,AAPL
17317,2009-06-21,4.2277,AAPL
17318,2009-06-28,4.3174,AAPL
17319,2009-07-05,4.2441,AAPL
17320,2009-07-12,4.1986,AAPL
17321,2009-07-19,4.5996,AAPL
17322,2009-07-26,4.8492,AAPL
17323,2009-08-02,4.9524,AAPL
17324,2009-08-09,5.0167,AAPL
17325,2009-08-16,5.0552,AAPL
17326,2009-08-23,5.1291,AAPL
17327,2009-08-30,5.1543,AAPL
17328,2009-09-06,5.1622,AAPL
17329,2009-09-13,5.2182,AAPL
17330,2009-09-20,5.608,AAPL
17331,2009-09-27,5.5277,AAPL
17332,2009-10-04,5.6044,AAPL
17333,2009-10-11,5.7732,AAPL
17334,2009-10-18,5.6999,AAPL
17335,2009-10-25,6.1815,AAPL
17336,2009-11-01,5.7135,AAPL
17337,2009-11-08,5.8905,AAPL
17338,2009-11-15,6.197,AAPL
17339,2009-11-22,6.0596,AAPL
17340,2009-11-29,6.08,AAPL
17341,2009-12-06,5.8596,AAPL
17342,2009-12-13,5.9005,AAPL
17343,2009-12-20,5.9236,AAPL
17344,2009-12-27,6.3361,AAPL
17345,2010-01-03,6.3874,AAPL
17346,2010-01-10,6.4252,AAPL
17347,2010-01-17,6.2418,AAPL
17348,2010-01-24,5.9939,AAPL
17349,2010-01-31,5.8215,AAPL
17350,2010-02-07,5.9245,AAPL
17351,2010-02-14,6.0736,AAPL
17352,2010-02-21,6.1127,AAPL
17353,2010-02-28,6.2021,AAPL
17354,2010-03-07,6.6365,AAPL
17355,2010-03-14,6.8683,AAPL
17356,2010-03-21,6.7365,AAPL
17357,2010-03-28,6.9987,AAPL
17358,2010-04-04,7.1523,AAPL
17359,2010-04-11,7.3287,AAPL
17360,2010-04-18,7.4988,AAPL
17361,2010-04-25,8.209,AAPL
17362,2010-05-02,7.9137,AAPL
17363,2010-05-09,7.149,AAPL
17364,2010-05-16,7.6934,AAPL
17365,2010-05-23,7.3448,AAPL
17366,2010-05-30,7.7861,AAPL
17367,2010-06-06,7.7584,AAPL
17368,2010-06-13,7.684,AAPL
17369,2010-06-20,8.3073,AAPL
17370,2010-06-27,8.0838,AAPL
17371,2010-07-04,7.4848,AAPL
17372,2010-07-11,7.8692,AAPL
17373,2010-07-18,7.5746,AAPL
17374,2010-07-25,7.8789,AAPL
17375,2010-08-01,7.7973,AAPL
17376,2010-08-08,7.8835,AAPL
17377,2010-08-15,7.5503,AAPL
17378,2010-08-22,7.5667,AAPL
17379,2010-08-29,7.3236,AAPL
17380,2010-09-05,7.8434,AAPL
17381,2010-09-12,7.9841,AAPL
17382,2010-09-19,8.3466,AAPL
17383,2010-09-26,8.8603,AAPL
17384,2010-10-03,8.5633,AAPL
17385,2010-10-10,8.9134,AAPL
17386,2010-10-17,9.5399,AAPL
17387,2010-10-24,9.3195,AAPL
17388,2010-10-31,9.1228,AAPL
17389,2010-11-07,9.6123,AAPL
17390,2010-11-14,9.3365,AAPL
17391,2010-11-21,9.2971,AAPL
17392,2010-11-28,9.5478,AAPL
17393,2010-12-05,9.6217,AAPL
17394,2010-12-12,9.7163,AAPL
17395,2010-12-19,9.7178,AAPL
17396,2010-12-26,9.8084,AAPL
17397,2011-01-02,9.7769,AAPL
17398,2011-01-09,10.1879,AAPL
17399,2011-01-16,10.5626,AAPL
17400,2011-01-23,9.903,AAPL
17401,2011-01-30,10.1873,AAPL
17402,2011-02-06,10.5025,AAPL
17403,2011-02-13,10.8163,AAPL
17404,2011-02-20,10.6256,AAPL
17405,2011-02-27,10.5529,AAPL
17406,2011-03-06,10.9117,AAPL
17407,2011-03-13,10.6689,AAPL
17408,2011-03-20,10.0227,AAPL
17409,2011-03-27,10.6553,AAPL
17410,2011-04-03,10.4437,AAPL
17411,2011-04-10,10.1558,AAPL
17412,2011-04-17,9.9254,AAPL
17413,2011-04-24,10.6297,AAPL
17414,2011-05-01,10.6126,AAPL
17415,2011-05-08,10.5074,AAPL
17416,2011-05-15,10.3207,AAPL
17417,2011-05-22,10.1606,AAPL
17418,2011-05-29,10.227,AAPL
17419,2011-06-05,10.4098,AAPL
17420,2011-06-12,9.8781,AAPL
17421,2011-06-19,9.7072,AAPL
17422,2011-06-26,9.8918,AAPL
17423,2011-07-03,10.4043,AAPL
17424,2011-07-10,10.9029,AAPL
17425,2011-07-17,11.0609,AAPL
17426,2011-07-24,11.9211,AAPL
17427,2011-07-31,11.8356,AAPL
17428,2011-08-07,11.3246,AAPL
17429,2011-08-14,11.4267,AAPL
17430,2011-08-21,10.7914,AAPL
17431,2011-08-28,11.6264,AAPL
17432,2011-09-04,11.3376,AAPL
17433,2011-09-11,11.4416,AAPL
17434,2011-09-18,12.1393,AAPL
17435,2011-09-25,12.2545,AAPL
17436,2011-10-02,11.5579,AAPL
17437,2011-10-09,11.2088,AAPL
17438,2011-10-16,12.791,AAPL
17439,2011-10-23,11.908,AAPL
17440,2011-10-30,12.2742,AAPL
17441,2011-11-06,12.1314,AAPL
17442,2011-11-13,11.658,AAPL
17443,2011-11-20,11.3646,AAPL
17444,2011-11-27,11.0199,AAPL
17445,2011-12-04,11.8119,AAPL
17446,2011-12-11,11.9308,AAPL
17447,2011-12-18,11.5489,AAPL
17448,2011-12-25,12.2251,AAPL
17449,2012-01-01,12.2757,AAPL
17450,2012-01-08,12.8031,AAPL
17451,2012-01-15,12.7246,AAPL
17452,2012-01-22,12.7394,AAPL
17453,2012-01-29,13.5572,AAPL
17454,2012-02-05,13.9331,AAPL
17455,2012-02-12,14.9557,AAPL
17456,2012-02-19,15.2194,AAPL
17457,2012-02-26,15.8344,AAPL
17458,2012-03-04,16.5246,AAPL
17459,2012-03-11,16.5243,AAPL
